clus0,clus1,clus2,clus3,clus4,clus5,clus6,clus7
0.000127943,8.24E-05,0.000101662,0.000139488,0.000133106,0.000101419,0.000115492,0.000139226
0.000121214,9.72E-05,0.000101662,0.000118587,0.000126559,0.00011734,0.000115492,0.000140697
0.000138165,0.000123783,0.000101662,0.000121315,0.000126184,0.000126051,0.000115492,0.000147755
0.000145003,0.000123959,0.000106158,0.000118587,0.00012825,0.000126217,0.000109685,0.000140697
0.000121233,0.000101084,0.000119795,0.000113805,0.000131773,0.000123592,0.000107975,0.00013148
0.000127943,9.40E-05,0.000139948,0.000132381,0.000133106,0.000117727,0.000116102,0.000133245
0.000127943,9.40E-05,9.23E-05,0.000139488,0.000133106,0.000117727,0.000110305,0.000139226
0.000115153,9.40E-05,0.000101662,0.000110802,0.000119809,0.000117727,0.000115492,0.000138186
0.000121214,9.72E-05,0.000101662,0.000118587,0.000126559,0.00011734,0.000115492,0.000140697
0.000135623,0.000123783,0.000101662,0.000118587,0.000118749,0.000126051,0.000115492,0.000140697
0.000143531,0.000123959,0.000106158,0.000118587,0.000122123,0.000126217,0.000109685,0.000140697
0.000124428,0.000101084,0.000119795,0.000106239,0.000122465,0.000123592,0.000107975,0.000118867
0.000115153,9.40E-05,0.000139948,0.000132381,0.000119809,0.000117727,0.000116102,0.000133245
0.000115153,9.40E-05,9.23E-05,0.000139488,0.000119809,0.000117727,0.000110305,0.000139226
0.000115153,9.40E-05,0.000101662,0.000110802,0.000119809,0.000117727,0.000115492,0.000138186
0.000112141,9.72E-05,0.000101662,0.000118587,0.00011252,0.00011734,0.000115492,0.000140697
0.000135623,0.000123783,0.000101662,0.000118587,0.000118749,0.000126051,0.000115492,0.000140697
0.000143531,0.000123959,0.000106158,0.000118587,0.000122366,0.000126217,0.000109685,0.000140697
0.000124428,0.000101084,0.000119795,0.000113805,0.000122465,0.000123592,0.000107975,0.00013148
0.000115153,9.40E-05,0.000139948,0.000132381,0.000119809,0.000117727,0.000116102,0.000133245
0.000115153,9.40E-05,0.000123669,0.000145498,0.000119809,0.000117727,0.000125987,0.000148733
0.000115153,9.40E-05,0.000120895,0.000110802,0.000119809,0.000117727,0.000122793,0.000138186
0.000112141,9.72E-05,0.000120895,0.000118587,0.00011252,0.00011734,0.000122793,0.000140697
0.000135623,0.000123783,0.000120895,0.000121315,0.000118749,0.000126051,0.000122793,0.000147755
0.000143531,0.000123959,0.000106158,0.000118587,0.000122366,0.000126217,0.000109685,0.000140697
0.000124428,0.000101084,0.000119795,0.000123877,0.000122465,0.000123592,0.000107975,0.00014556
0.000115153,9.40E-05,0.000139948,0.000132381,0.000119809,0.000117727,0.000116102,0.000133245
0.000115153,0.000136214,9.23E-05,0.000139488,0.000119809,0.000155619,0.000110305,0.000139226
0.000115153,0.000136214,0.000139948,0.000110802,0.000119809,0.000155619,0.000116102,0.000138186
0.000112141,9.72E-05,0.000101662,0.000118587,0.00011252,0.00011734,0.000115492,0.000140697
0.000135623,0.000123783,0.000101662,0.000118587,0.000118749,0.000126051,0.000115492,0.000140697
0.000107769,0.000123959,0.000106158,0.000118587,9.64E-05,0.000126217,0.000109685,0.000140697
9.59E-05,0.000101084,0.000119795,0.000113805,9.94E-05,0.000123592,0.000107975,0.00013148
7.75E-05,9.40E-05,0.000139948,0.000132381,9.69E-05,0.000117727,0.000116102,0.000133245
7.75E-05,0.000123959,0.000123669,0.000139488,9.69E-05,0.000126217,0.000125987,0.000139226
9.76E-05,9.40E-05,0.000119969,0.000110802,0.000107597,0.000117727,0.000136447,0.000138186
0.000100555,0.000155289,0.000124884,0.000118587,0.000112677,0.000166091,0.000144617,0.000140697
8.93E-05,0.000164155,0.000119969,0.000118587,8.84E-05,0.000164436,0.000136447,0.000140697
0.000107769,0.000157034,0.000115074,0.000118587,9.64E-05,0.000156265,0.000128961,0.000140697
9.59E-05,0.000140238,0.000135368,0.000113805,9.94E-05,0.000155553,0.00012908,0.00013148
7.75E-05,0.000136214,0.00014031,0.000145331,9.69E-05,0.000155619,0.00013269,0.000146259
7.75E-05,0.000136214,0.00011357,0.000139488,9.69E-05,0.000155619,0.000134287,0.000139226
7.75E-05,0.000136214,0.000119969,0.000110802,9.69E-05,0.000155619,0.000136447,0.000138186
7.74E-05,0.000155289,0.000119969,0.000118587,9.64E-05,0.000166091,0.000136447,0.000140697
8.93E-05,0.000164155,0.000119969,0.000118587,8.84E-05,0.000164436,0.000136447,0.000140697
0.000107769,0.000157034,0.000106277,0.000118587,9.64E-05,0.000156265,0.000115405,0.000140697
9.59E-05,0.000140238,0.000135368,0.000113805,9.94E-05,0.000155553,0.00012908,0.00013148
7.75E-05,0.000136214,0.00014031,0.000132381,9.69E-05,0.000155619,0.00013269,0.000133245
7.75E-05,0.000136214,0.00011357,0.000139488,9.69E-05,0.000155619,0.000134287,0.000139226
7.56E-05,0.000136214,0.000119969,0.000110802,9.06E-05,0.000155619,0.000136447,0.000138186
7.78E-05,0.000155289,0.000119969,0.000118587,8.72E-05,0.000166091,0.000136447,0.000140697
8.93E-05,0.000164155,0.000119969,0.000118587,8.84E-05,0.000164436,0.000136447,0.000140697
0.000107769,0.000157034,0.000115074,0.000118587,9.64E-05,0.000156265,0.000128961,0.000140697
9.59E-05,0.000140238,0.000135368,0.000113805,9.94E-05,0.000155553,0.00012908,0.00013148
7.75E-05,0.000136214,0.000148481,0.000132381,9.69E-05,0.000155619,0.000142698,0.000133245
7.75E-05,0.000136214,0.00011357,0.000139488,9.69E-05,0.000155619,0.000134287,0.000139226
7.56E-05,0.000136214,0.000119969,0.000110802,9.06E-05,0.000155619,0.000136447,0.000138186
7.78E-05,0.000155289,0.000124884,0.000118587,8.72E-05,0.000166091,0.000144617,0.000140697
8.93E-05,0.000164155,0.000119969,0.000118587,8.84E-05,0.000164436,0.000136447,0.000140697
0.000107769,0.000157034,0.000127381,0.000118587,9.64E-05,0.000156265,0.000144333,0.000140697
6.73E-05,0.000140238,0.000135368,0.000113805,8.81E-05,0.000155553,0.00012908,0.00013148
7.56E-05,0.000136214,0.00014031,0.000132381,9.06E-05,0.000155619,0.00013269,0.000133245
7.56E-05,0.000136214,0.00011357,0.000139488,9.06E-05,0.000155619,0.000134287,0.000139226
7.56E-05,0.000136214,0.000119969,0.000110802,9.06E-05,0.000155619,0.000136447,0.000138186
7.78E-05,0.000155289,0.000119969,0.000118587,8.72E-05,0.000166091,0.000136447,0.000140697
8.93E-05,0.000164155,0.000119969,0.000118587,8.84E-05,0.000164436,0.000136447,0.000140697
9.08E-05,0.000157034,0.000115074,0.000106866,9.00E-05,0.000156265,0.000128961,0.000126915
6.73E-05,0.000101084,0.000135368,0.000113805,8.81E-05,0.000123592,0.00012908,0.00013148
7.56E-05,9.40E-05,0.00014031,0.000132722,9.06E-05,0.000117727,0.00013269,0.000128094
7.56E-05,9.40E-05,0.00011357,0.000142369,9.06E-05,0.000117727,0.000134287,0.00013412
7.56E-05,9.40E-05,0.000119969,0.000115215,9.06E-05,0.000117727,0.000136447,0.000130827
7.78E-05,9.72E-05,0.000119969,0.000106866,8.72E-05,0.00011734,0.000136447,0.000126915
8.93E-05,0.000123783,0.000119969,0.000106866,8.84E-05,0.000126051,0.000136447,0.000126915
9.08E-05,0.000123959,0.000115074,0.000106866,9.00E-05,0.000126217,0.000128961,0.000126915
6.73E-05,0.000101084,0.00014766,0.000106239,8.81E-05,0.000123592,0.000141393,0.000118867
7.56E-05,9.40E-05,0.00014031,0.000132722,9.06E-05,0.000117727,0.00013269,0.000128094
7.56E-05,9.40E-05,0.00011357,0.000142369,9.06E-05,0.000117727,0.000134287,0.000134403
7.56E-05,9.40E-05,0.000119969,0.000115215,9.06E-05,0.000117727,0.000136447,0.000130827
7.78E-05,9.72E-05,0.000119969,0.000106866,8.72E-05,0.00011734,0.000136447,0.000126915
8.93E-05,0.000123783,0.000119969,0.000106866,8.84E-05,0.000126051,0.000136447,0.000126915
9.08E-05,0.000123959,0.000115074,0.000106866,9.00E-05,0.000126217,0.000128961,0.000126915
6.73E-05,0.000101084,0.000135368,0.000106239,8.81E-05,0.000123592,0.00012908,0.000118867
7.56E-05,9.40E-05,0.00014031,0.000132722,9.06E-05,0.000117727,0.00013269,0.000128094
7.56E-05,9.40E-05,0.00011357,0.000142369,9.06E-05,0.000117727,0.000134287,0.000134403
9.13E-05,9.40E-05,0.000119969,0.000115215,9.91E-05,0.000117727,0.000136447,0.000130827
7.67E-05,9.72E-05,0.000119969,0.000106866,8.41E-05,0.00011734,0.000136447,0.000126915
8.93E-05,0.000123783,0.000119969,0.000106866,8.84E-05,0.000126051,0.000136447,0.000126915
9.08E-05,0.000123959,0.000115074,0.000106866,9.00E-05,0.000126217,0.000128961,0.000126915
9.08E-05,0.000101084,0.000135368,0.000106239,9.00E-05,0.000123592,0.00012908,0.000118867
9.13E-05,9.40E-05,0.00014031,0.000132722,9.91E-05,0.000117727,0.00013269,0.000128094
9.13E-05,9.40E-05,0.00011357,0.000105007,9.91E-05,0.000117727,0.000134287,0.000106777
9.13E-05,9.40E-05,0.000119969,8.98E-05,9.91E-05,0.000117727,0.000136447,0.000102464
